,recall,jaccard,precision,resultrecall,resultprecision,corrected
california_schools ,0.60,0.33,0.44,0.09,0.10,yes
card_games,0.34,0.23,0.35,0.24,0.21,yes
codebase_community,0.46,0.32,0.43,0.40,0.40,yes
debit_card_specializing,0.70,0.64,0.77,0.07,0.07,yes
financial,0.78,0.48,0.56,0.00,0.00,yes
football,0.66,0.53,0.71,0.32,0.42,yes
fromula_1,0.70,0.55,0.71,0.30,0.40,yes
student_club  ,0.62,0.45,0.60,0.20,0.20,yes
superhero  ,0.74,0.64,0.75,0.20,0.20,yes
thrombosis_prediction,0.70,0.54,0.69,0.50,0.60,yes
toxicology,0.58,0.43,0.53,0.07,0.10,yes
california_schools ,0.51,0.26,0.34,0.00,0.00,no
card_games,0.30,0.20,0.33,0.00,0.00,no
codebase_community,0.46,0.31,0.42,0.20,0.20,no
debit_card_specializing,0.62,0.52,0.68,0.10,0.20,no
financial,0.35,0.20,0.33,0.00,0.00,no
football,0.33,0.23,0.39,0.00,0.00,no
fromula_1,0.48,0.28,0.40,0.00,0.00,no
student_club  ,0.62,0.43,0.57,0.20,0.20,no
superhero  ,0.57,0.41,0.60,0.01,0.01,no
thrombosis_prediction,0.54,0.38,0.53,0.20,0.20,no
toxicology,0.45,0.34,0.54,0.20,0.20,no